date,code,action,price,shares,amount,fee
2024-10-14,000001,BUY,11.98,200,2396.0,5.02
2024-10-14,000858,BUY,151.0,400,60400.0,15.7
2024-10-14,000725,BUY,4.21,2100,8841.0,5.09
2024-10-15,600030,TAKE_PROFIT,27.0,100,2700.0,6.38
2024-10-15,603259,TAKE_PROFIT,51.92,100,5192.0,7.65
2024-10-15,002594,BUY,305.5,200,61100.0,15.89
2024-10-15,300750,BUY,249.81,200,49962.0,12.99
2024-10-16,002594,BUY,293.0,100,29300.0,7.62
2024-10-16,000333,BUY,74.7,800,59760.0,15.54
2024-10-17,000333,BUY,75.24,800,60192.0,15.65
2024-10-17,603259,BUY,49.3,600,29580.0,7.7
2024-10-18,603259,BUY,47.8,100,4780.0,5.05
2024-10-21,000725,BUY,4.19,100,419.0,5.0
2024-11-12,603259,TAKE_PROFIT,57.52,400,23008.0,17.48
2024-11-12,601318,BUY,58.4,300,17520.0,5.18
2024-11-13,603259,TAKE_PROFIT,57.57,200,11514.0,10.88
2024-11-13,600276,BUY,49.16,100,4916.0,5.05
2024-11-14,300750,TAKE_PROFIT,283.0,200,56600.0,43.02
2024-11-14,603259,BUY,56.19,1100,61809.0,16.07
2024-11-14,600276,BUY,49.27,100,4927.0,5.05
2024-11-21,000001,BUY,11.62,100,1162.0,5.01
2024-11-25,002594,EXIT,283.0,600,169800.0,129.05
2024-11-25,000333,EXIT,70.11,1700,119187.0,90.58
2024-11-25,600585,BUY,25.3,4700,118910.0,30.92
2024-11-26,300750,BUY,261.57,200,52314.0,13.6
2024-12-05,000333,BUY,71.6,1600,114560.0,29.79
2024-12-09,600585,BUY,25.8,100,2580.0,5.03
2024-12-11,600276,EXIT,47.86,3900,186654.0,141.86
2024-12-11,601318,BUY,55.61,1100,61171.0,15.9
2024-12-11,603259,BUY,57.49,1000,57490.0,14.94
2024-12-11,600030,BUY,31.43,1900,59717.0,15.53
2024-12-11,600036,BUY,38.54,200,7708.0,5.08
2024-12-16,601318,EXIT,53.71,1500,80565.0,61.23
2024-12-16,603259,BUY,56.21,1000,56210.0,14.61
2024-12-16,600585,BUY,26.01,900,23409.0,6.08
2024-12-16,000001,BUY,11.56,100,1156.0,5.01
2024-12-17,600585,EXIT,24.75,5700,141075.0,107.22
2024-12-17,000333,BUY,73.2,800,58560.0,15.23
2024-12-17,601857,BUY,8.43,9700,81771.0,21.26
2024-12-20,000858,EXIT,143.7,1200,172440.0,131.05
2024-12-20,600036,BUY,38.05,1600,60880.0,15.83
2024-12-20,600900,BUY,29.21,3700,108077.0,28.1
2024-12-23,600900,BUY,29.19,100,2919.0,5.03
2024-12-23,601857,BUY,8.38,200,1676.0,5.02
2024-12-30,000725,EXIT,4.36,44600,194456.0,147.78
2024-12-30,600900,BUY,29.61,2000,59220.0,15.39
2024-12-30,601857,BUY,8.92,6900,61548.0,16.01
2024-12-30,600036,BUY,39.34,1500,59010.0,15.34
2024-12-31,600036,BUY,39.56,300,11868.0,5.12
2024-12-31,601857,BUY,9.02,300,2706.0,5.03
2025-01-02,600030,EXIT,28.98,2000,57960.0,44.05
2025-01-02,300750,REDUCE,266.25,200,53250.0,40.46
2025-01-02,600036,BUY,39.35,1100,43285.0,11.25
2025-01-02,601857,BUY,8.91,3600,32076.0,8.34
2025-01-02,600900,BUY,29.51,400,11804.0,5.12
2025-01-03,300750,REDUCE,258.78,200,51756.0,39.34
2025-01-08,300750,EXIT,245.99,200,49198.0,37.39
2025-01-08,603259,EXIT,52.16,3300,172128.0,130.81
2025-01-08,000001,EXIT,11.5,16100,185150.0,140.72
2025-01-21,603259,BUY,56.03,2100,117663.0,30.6
2025-01-22,603259,BUY,55.28,1000,55280.0,14.37
2025-01-23,601857,EXIT,8.26,20700,170982.0,129.95
2025-01-27,603259,BUY,55.87,100,5587.0,5.06
2025-02-11,000333,EXIT,73.44,2400,176256.0,133.95
2025-02-12,002594,BUY,327.5,300,98250.0,25.54
2025-02-12,000725,BUY,4.51,26600,119966.0,31.19
2025-02-13,002594,BUY,341.2,100,34120.0,8.87
2025-02-14,002594,BUY,341.52,100,34152.0,8.88
2025-02-14,000725,BUY,4.49,13400,60166.0,15.64
2025-02-17,000725,BUY,4.59,200,918.0,5.01
2025-02-19,600900,EXIT,28.26,6200,175212.0,133.16
2025-02-19,000725,BUY,4.54,600,2724.0,5.03
2025-02-20,000725,BUY,4.49,300,1347.0,5.01
2025-02-21,000725,BUY,4.49,300,1347.0,5.01
2025-02-24,603259,TAKE_PROFIT,67.2,1600,107520.0,81.72
2025-02-24,000725,BUY,4.56,400,1824.0,5.02
2025-02-24,300750,BUY,273.01,400,109204.0,28.39
2025-02-25,603259,BUY,61.7,1000,61700.0,16.05
2025-02-25,300750,BUY,267.48,200,53496.0,13.9
2025-02-26,603259,BUY,63.0,300,18900.0,5.19
2025-03-03,603259,BUY,61.44,100,6144.0,5.06
