date,code,action,price,shares,amount,fee
2026-03-06,000725,BUY,4.42,500,2210.0,5.02
2026-03-09,601857,BUY,13.48,4600,62008.0,16.12
2026-03-10,601857,BUY,12.18,5100,62118.0,16.15
2026-03-11,300750,BUY,379.58,200,75916.0,19.74
2026-03-11,002594,BUY,96.75,1200,116100.0,30.19
2026-03-12,000725,BUY,4.4,700,3080.0,5.03
2026-03-12,002594,BUY,99.23,600,59538.0,15.48
2026-03-17,000725,EXIT,4.25,43300,184025.0,139.86
2026-03-19,601857,BUY,12.1,4900,59290.0,15.41
2026-03-23,600585,EXIT,23.1,7900,182490.0,138.69
2026-03-23,600900,BUY,27.07,4600,124522.0,32.38
2026-03-24,600900,EXIT,26.9,4600,123740.0,94.05
2026-03-27,600900,BUY,27.28,4500,122760.0,31.92
2026-03-30,600900,BUY,27.25,2300,62675.0,16.3
2026-04-02,603259,BUY,103.0,1200,123600.0,32.14
2026-04-03,603259,BUY,100.7,600,60420.0,15.71
2026-04-03,600036,BUY,39.76,3100,123256.0,32.04
2026-04-10,600036,EXIT,39.32,3100,121892.0,92.64
2026-04-15,000001,BUY,11.16,11200,124992.0,32.5
2026-04-16,000001,BUY,11.2,5500,61600.0,16.02
2026-04-17,000001,BUY,11.09,200,2218.0,5.02
2026-04-17,600036,BUY,39.85,3100,123535.0,32.12
2026-04-20,600036,BUY,39.5,1500,59250.0,15.4
2026-04-21,601857,EXIT,11.44,15800,180752.0,137.38
2026-04-24,601857,BUY,11.71,10500,122955.0,31.97
2026-04-28,601857,BUY,11.92,5000,59600.0,15.5
2026-04-28,000333,BUY,79.45,500,39725.0,10.33
2026-04-30,600036,EXIT,38.4,4600,176640.0,134.25
2026-04-30,000333,BUY,81.0,700,56700.0,14.75
2026-05-06,000333,BUY,79.7,700,55790.0,14.51
2026-05-07,000333,BUY,80.0,400,32000.0,8.32
2026-05-08,601857,EXIT,11.33,15500,175615.0,133.47
2026-05-11,600030,BUY,26.83,4600,123418.0,32.08
