date,code,action,price,shares,amount,fee
2023-11-22,600030,BUY,22.31,2100,46851.0,12.18
2023-11-27,603259,EXIT,83.5,1600,133600.0,101.54
2023-12-05,600030,EXIT,21.34,6200,132308.0,100.55
2023-12-06,600276,EXIT,45.22,3100,140182.0,106.54
2023-12-06,000725,EXIT,3.79,35600,134924.0,102.54
2023-12-07,600276,BUY,45.48,2000,90960.0,23.65
2023-12-08,600276,EXIT,44.77,2000,89540.0,68.06
2023-12-12,600276,BUY,46.53,1900,88407.0,22.98
2023-12-18,600276,EXIT,44.59,1900,84721.0,64.39
2024-01-02,000725,BUY,3.89,23400,91026.0,23.67
2024-01-09,000333,BUY,54.71,1600,87536.0,22.76
2024-01-10,000333,BUY,55.17,800,44136.0,11.47
2024-01-11,000725,EXIT,3.73,23400,87282.0,66.33
2024-01-16,601857,BUY,7.31,12400,90644.0,23.57
2024-01-17,601857,BUY,7.3,6200,45260.0,11.76
2024-01-18,601857,BUY,7.22,300,2166.0,5.02
2024-01-23,601857,EXIT,7.01,18900,132489.0,100.68
2024-01-25,601857,BUY,7.3,12400,90520.0,23.54
2024-01-29,601857,BUY,8.39,4000,33560.0,8.73
2024-01-29,600036,BUY,31.2,2900,90480.0,23.52
2024-01-29,600585,BUY,22.97,4000,91880.0,23.89
2024-01-30,601857,BUY,8.32,200,1664.0,5.02
2024-01-31,600036,BUY,30.92,1400,43288.0,11.25
2024-02-01,600036,BUY,30.67,200,6134.0,5.06
2024-02-02,601857,BUY,8.1,300,2430.0,5.02
2024-02-05,601857,BUY,8.06,100,806.0,5.01
2024-02-07,601857,BUY,8.1,200,1620.0,5.02
2024-02-07,600585,BUY,23.74,1900,45106.0,11.73
2024-02-07,601318,BUY,41.69,2200,91718.0,23.85
2024-02-07,000001,BUY,9.62,9700,93314.0,24.26
2024-02-08,000725,BUY,3.87,8100,31347.0,8.15
2024-02-23,601857,TAKE_PROFIT,9.29,8600,79894.0,60.72
2024-02-23,000001,BUY,10.88,3900,42432.0,11.03
2024-02-23,601318,BUY,43.68,800,34944.0,9.09
2024-02-23,600585,BUY,24.65,100,2465.0,5.02
2024-02-26,601857,BUY,9.0,100,900.0,5.01
2024-03-05,601857,TAKE_PROFIT,9.05,4300,38915.0,29.58
2024-03-05,000001,BUY,10.3,500,5150.0,5.05
2024-03-05,000725,BUY,4.04,8100,32724.0,8.51
2024-03-06,000333,TAKE_PROFIT,64.9,1200,77880.0,59.19
2024-03-06,601857,TAKE_PROFIT,9.03,2200,19866.0,15.13
2024-03-06,000725,BUY,4.07,12100,49247.0,12.8
2024-03-06,601318,BUY,42.79,400,17116.0,5.17
2024-03-06,000858,BUY,141.0,200,28200.0,7.33
2024-03-07,000725,BUY,4.05,1000,4050.0,5.04
2024-03-08,000333,TAKE_PROFIT,65.87,600,39522.0,30.04
2024-03-08,601857,TAKE_PROFIT,9.05,1100,9955.0,10.08
2024-03-08,000725,BUY,4.04,7400,29896.0,7.77
2024-03-08,000858,BUY,138.06,100,13806.0,5.14
2024-03-08,600036,BUY,31.89,100,3189.0,5.03
2024-03-08,000001,BUY,10.35,100,1035.0,5.01
2024-03-11,000333,TAKE_PROFIT,66.09,300,19827.0,15.11
2024-03-11,601857,BUY,9.1,2300,20930.0,5.44
2024-03-21,600585,EXIT,22.73,6000,136380.0,103.64
2024-03-21,601857,BUY,9.08,5300,48124.0,12.51
