date,code,action,price,shares,amount,fee
2024-02-02,600036,BUY,30.45,100,3045.0,5.03
2024-02-07,601857,BUY,8.1,200,1620.0,5.02
2024-02-07,600585,BUY,23.74,3900,92586.0,24.08
2024-02-08,600585,BUY,23.83,1900,45277.0,11.77
2024-02-20,601318,BUY,42.65,2200,93830.0,24.4
2024-02-21,601318,BUY,42.18,1100,46398.0,12.06
2024-02-22,600585,BUY,24.61,100,2461.0,5.02
2024-02-22,600030,BUY,21.27,3500,74445.0,19.35
2024-02-23,601857,TAKE_PROFIT,9.29,8700,80823.0,61.43
2024-02-23,600585,BUY,24.65,100,2465.0,5.02
2024-02-23,000001,BUY,10.88,7100,77248.0,20.08
2024-02-26,601857,BUY,9.0,200,1800.0,5.02
2024-02-28,000725,BUY,3.99,100,399.0,5.0
2024-03-05,601857,TAKE_PROFIT,9.05,4400,39820.0,30.27
2024-03-05,000001,BUY,10.3,3800,39140.0,10.18
2024-03-05,000725,BUY,4.04,200,808.0,5.01
2024-03-06,000333,TAKE_PROFIT,64.9,1200,77880.0,59.19
2024-03-06,601857,TAKE_PROFIT,9.03,2200,19866.0,15.13
2024-03-06,000725,BUY,4.07,12100,49247.0,12.8
2024-03-06,601318,BUY,42.79,100,4279.0,5.04
2024-03-06,300750,BUY,162.58,200,32516.0,8.46
2024-03-07,000333,BUY,64.45,100,6445.0,5.06
2024-03-07,000725,BUY,4.05,1200,4860.0,5.05
2024-03-08,000333,TAKE_PROFIT,65.87,700,46109.0,35.04
2024-03-08,601857,TAKE_PROFIT,9.05,1100,9955.0,10.08
2024-03-08,000725,BUY,4.04,12100,48884.0,12.71
2024-03-08,600585,BUY,24.13,100,2413.0,5.02
2024-03-11,000333,TAKE_PROFIT,66.09,300,19827.0,15.11
2024-03-11,000725,BUY,4.05,6000,24300.0,6.32
2024-03-12,000725,BUY,4.09,100,409.0,5.0
2024-03-21,600585,EXIT,22.73,6100,138653.0,105.38
2024-03-21,300750,BUY,189.51,200,37902.0,9.86
2024-03-21,601857,BUY,9.08,5300,48124.0,12.51
2024-03-21,600276,BUY,45.85,1100,50435.0,13.11
2024-03-22,601857,BUY,9.11,200,1822.0,5.02
