key,label,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,avg_turnover,total_trades,objective_score
pullback_buy,回调买入,0.3527982525515496,0.3715856195899385,1.592099166287349,0.13462745268786236,0.5103734439834025,0.6133333333333334,25,56.588
value_lowvol,价值低波,0.26826117999497323,0.282092825516814,1.424990782521153,0.09106377147160982,0.5228215767634855,0.5066666666666667,25,48.051
smart_money,聪明钱跟踪,0.291284488759449,0.30643956808581674,1.3280310302924414,0.1316961508177915,0.5103734439834025,0.56,25,44.708
northbound_fav,外资偏好,0.20545761630867054,0.21578274664997976,1.0912109850490193,0.1213499443028716,0.5311203319502075,0.49333333333333335,25,31.757
deep_value,低估修复,0.1760315552930638,0.18476746362026875,1.0068620354055005,0.11544834754817734,0.5062240663900415,0.5333333333333333,25,25.856
garp,优质成长(GARP),0.15109209760175468,0.15850877820849152,0.8325191267619265,0.1313040184496378,0.5228215767634855,0.45333333333333337,25,19.361
dividend_value,红利价值,0.12904715233303432,0.13531931178442602,0.7794454395043278,0.12505965410740616,0.5062240663900415,0.5066666666666666,25,15.177
balanced,综合均衡,0.13321341627286132,0.1397003067335152,0.7750159477597351,0.13309142786011474,0.5062240663900415,0.4800000000000001,25,15.114
smallcap_reversal,小盘反转,0.12041351679246715,0.12624304665820651,0.7127959119223414,0.13130401844963813,0.5145228215767634,0.56,25,12.19
quality_growth,质量成长,0.07805252220979342,0.08175698676817933,0.5211927635808458,0.13130401844963757,0.5145228215767634,0.44000000000000006,25,4.363
limitup_hunter,涨停猎手,0.08913129007804521,0.09338394899255498,0.5668807736639863,0.17475778538219544,0.5145228215767634,0.5333333333333333,25,1.923
boll_mean_rev,布林均值回归 [胜率20.6%],0.056503716186148356,0.05915757851032066,0.47083001070868585,0.1665551185941888,0.47717842323651455,0.6,25,-5.015
trend_breakout,强势突破,0.0426701195094783,0.04466058924693872,0.3665900625860057,0.1893857883656751,0.5145228215767634,0.5066666666666667,25,-8.632
reversal_boll_mom,反转+布林+动量 [回测验证],0.03200224852981304,0.03348712646241414,0.33637852478521124,0.16655511859418914,0.4854771784232365,0.56,25,-9.905
intraday_reversal,日内反转 [回测Alpha+15%],-0.08317368372008793,-0.08680035576958556,-0.33953013705917146,0.17788402835387096,0.44398340248962653,0.7333333333333334,25,-40.364
